gene_id,gene_name,GSM4143959_HUtSMC-AP-1-KO-Rep-1,GSM4143960_HUtSMC-AP-1-KO-Rep-2,GSM4143961_HUtSMC-AP-1-KO-Rep-3,GSM4143962_HUtSMC-Negative-Ctrl-Rep-1,GSM4143963_HUtSMC-Negative-Ctrl-Rep-2,GSM4143964_HUtSMC-Negative-Ctrl-Rep-3
ENSG00000223972,DDX11L1,0,0,0,0,0,0
ENSG00000227232,WASH7P,5,3,4,4,4,2
ENSG00000278267,MIR6859-1,0,0,0,1,1,1
ENSG00000243485,MIR1302-2HG,0,0,0,0,0,0
ENSG00000284332,MIR1302-2,0,0,0,0,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,0
ENSG00000268020,OR4G4P,0,0,0,0,0,0
ENSG00000240361,OR4G11P,0,0,0,0,0,0
ENSG00000186092,OR4F5,0,0,0,0,0,0
ENSG00000239945,ENSG00000239945,0,0,0,0,0,0
ENSG00000233750,CICP27,0,0,0,0,0,0
ENSG00000268903,ENSG00000268903,1,1,0,3,0,1
ENSG00000269981,ENSG00000269981,2,1,7,3,3,0
ENSG00000239906,ENSG00000239906,0,0,0,0,0,0
ENSG00000241860,ENSG00000241860,1,1,3,2,0,2
ENSG00000222623,RNU6-1100P,0,0,0,0,0,0
ENSG00000241599,ENSG00000241599,0,0,0,0,0,0
ENSG00000279928,DDX11L17,0,0,0,0,0,0
ENSG00000279457,WASH9P,14,17,15,16,7,13
ENSG00000273874,MIR6859-2,1,1,0,0,0,2
ENSG00000228463,ENSG00000228463,2,2,2,1,1,3
ENSG00000236679,RPL23AP24,0,0,0,0,0,0
ENSG00000236601,ENSG00000236601,0,0,0,0,0,0
ENSG00000237094,ENSG00000237094,1,1,0,3,7,5
ENSG00000269732,WBP1LP7,0,0,0,0,0,0
ENSG00000284733,OR4F29,0,0,0,0,0,0
ENSG00000233653,CICP7,0,0,0,0,0,0
ENSG00000250575,ENSG00000250575,0,0,0,0,0,0
ENSG00000278757,U6,0,0,0,0,0,0
ENSG00000230021,ENSG00000230021,0,0,1,1,1,0
ENSG00000235146,ENSG00000235146,0,0,0,0,0,0
ENSG00000225972,MTND1P23,12,14,11,20,14,9
ENSG00000225630,MTND2P28,1992,1572,1242,2542,1487,1188
ENSG00000237973,MTCO1P12,242,158,171,350,167,123
ENSG00000278791,ENSG00000278791,0,0,0,0,0,0
ENSG00000229344,MTCO2P12,45,31,17,44,25,18
ENSG00000240409,MTATP8P1,1,3,0,2,1,0
ENSG00000248527,MTATP6P1,4744,3703,3584,6852,3548,2818
ENSG00000198744,MTCO3P12,22,17,17,34,11,8
ENSG00000268663,WBP1LP6,0,0,0,0,0,0
ENSG00000284662,OR4F16,0,0,0,0,0,0
ENSG00000229376,CICP3,0,0,0,0,0,0
ENSG00000228327,ENSG00000228327,10,11,6,13,7,15
ENSG00000223181,RNU6-1199P,0,0,0,0,0,0
ENSG00000229905,ENSG00000229905,0,0,0,0,0,0
ENSG00000237491,LINC01409,4,3,3,6,4,6
ENSG00000230092,ENSG00000230092,3,5,3,3,6,7
ENSG00000177757,FAM87B,8,7,4,14,10,18
ENSG00000228794,LINC01128,214,242,204,152,248,239
ENSG00000225880,LINC00115,6,4,7,10,6,4
ENSG00000230368,FAM41C,0,0,0,0,0,1
ENSG00000234711,TUBB8P11,0,0,0,0,0,0
ENSG00000283040,ENSG00000283040,0,0,0,0,0,0
ENSG00000272438,ENSG00000272438,2,1,2,0,2,2
ENSG00000223764,LINC02593,95,77,67,118,162,146
ENSG00000187634,SAMD11,287,191,115,220,260,272
ENSG00000188976,NOC2L,1949,1592,1165,1116,1380,1509
ENSG00000187961,KLHL17,221,180,193,224,264,259
ENSG00000187583,PLEKHN1,158,120,99,103,156,161
ENSG00000187642,PERM1,2,6,9,0,1,2
ENSG00000272512,ENSG00000272512,0,2,0,6,0,0
ENSG00000188290,HES4,12,48,14,17,4,8
ENSG00000187608,ISG15,312,229,220,326,231,253
ENSG00000231702,ENSG00000231702,0,0,0,0,0,1
ENSG00000224969,ENSG00000224969,0,1,0,1,1,0
ENSG00000188157,AGRN,2150,2398,2328,3087,2790,2838
ENSG00000242590,ENSG00000242590,0,0,0,0,0,0
ENSG00000217801,ENSG00000217801,4,2,12,18,9,13
ENSG00000273443,ENSG00000273443,0,0,0,0,0,0
ENSG00000237330,RNF223,0,0,0,0,0,0
ENSG00000131591,C1orf159,113,112,99,119,127,105
ENSG00000223823,LINC01342,0,0,0,0,0,0
ENSG00000207730,MIR200B,0,0,0,0,0,0
ENSG00000207607,MIR200A,0,0,0,0,0,0
ENSG00000198976,MIR429,0,0,0,0,0,0
ENSG00000272141,ENSG00000272141,0,0,0,0,0,0
ENSG00000205231,TTLL10-AS1,0,0,0,0,0,0
ENSG00000162571,TTLL10,0,0,0,0,0,0
ENSG00000186891,TNFRSF18,1,0,0,1,0,2
ENSG00000186827,TNFRSF4,0,0,1,0,0,0
ENSG00000078808,SDF4,4460,4905,4248,5610,6272,5980
ENSG00000176022,B3GALT6,594,521,528,542,648,613
ENSG00000184163,C1QTNF12,10,6,7,12,9,5
ENSG00000260179,ENSG00000260179,1,2,3,2,1,1
ENSG00000160087,UBE2J2,1072,952,844,979,997,1003
ENSG00000230415,LINC01786,5,2,2,6,4,10
ENSG00000162572,SCNN1D,21,18,13,35,36,49
ENSG00000131584,ACAP3,699,580,498,912,769,807
ENSG00000278073,MIR6726,0,0,0,0,0,0
ENSG00000169972,PUSL1,239,201,163,170,235,236
ENSG00000127054,INTS11,947,918,810,891,992,931
ENSG00000283712,MIR6727,0,0,0,0,0,0
ENSG00000240731,ENSG00000240731,11,18,11,7,8,18
ENSG00000224051,CPTP,348,372,311,356,393,388
ENSG00000169962,TAS1R3,0,1,1,0,1,1
ENSG00000107404,DVL1,1264,1186,964,873,1319,1330
ENSG00000284372,MIR6808,0,0,0,0,0,0
ENSG00000162576,MXRA8,2922,3154,3403,3822,4092,3978
ENSG00000175756,AURKAIP1,1292,1143,871,940,1016,999
ENSG00000223663,NDUFB4P8,0,0,0,0,0,0
ENSG00000221978,CCNL2,1814,1521,1584,2189,2173,2138
ENSG00000224870,MRPL20-AS1,151,148,132,147,182,182
ENSG00000242485,MRPL20,1437,1193,951,1037,1141,997
ENSG00000264293,RN7SL657P,0,0,0,0,0,0
ENSG00000272455,MRPL20-DT,52,49,46,12,53,64
ENSG00000235098,ANKRD65,9,3,7,41,14,9
ENSG00000225905,ANKRD65-AS1,0,1,0,1,1,0
ENSG00000205116,TMEM88B,0,0,0,1,0,0
ENSG00000225285,LINC01770,1,1,1,3,3,3
ENSG00000179403,VWA1,95,76,129,293,300,264
ENSG00000215915,ATAD3C,5,9,2,2,5,3
ENSG00000160072,ATAD3B,602,514,359,271,386,439
ENSG00000284740,ENSG00000284740,1,1,4,3,5,0
ENSG00000197785,ATAD3A,809,758,491,435,629,632
ENSG00000205090,TMEM240,32,29,32,65,53,52
ENSG00000160075,SSU72,2448,2238,1862,2174,2584,2356
ENSG00000215014,SSU72-AS1,17,14,14,17,21,26
ENSG00000274481,ENSG00000274481,0,0,0,0,0,0
ENSG00000228594,FNDC10,99,145,108,126,126,122
ENSG00000272106,ENSG00000272106,76,43,54,77,81,86
ENSG00000197530,MIB2,365,393,334,514,555,659
ENSG00000189409,MMP23B,1,1,0,1,2,1
ENSG00000248333,CDK11B,570,474,412,504,511,490
ENSG00000272004,ENSG00000272004,1,1,4,2,0,0
ENSG00000189339,SLC35E2B,614,571,585,947,853,887
ENSG00000269737,ENSG00000269737,0,2,0,1,2,1
ENSG00000215914,MMP23A,0,0,0,1,1,0
ENSG00000008128,CDK11A,51,42,53,44,52,49
ENSG00000268575,ENSG00000268575,21,24,21,38,24,32
ENSG00000227775,ENSG00000227775,0,0,0,0,1,1
ENSG00000215790,SLC35E2A,25,14,18,45,24,54
ENSG00000008130,NADK,899,846,735,831,867,881
ENSG00000078369,GNB1,11738,12919,10985,10752,11917,11412
ENSG00000231050,GNB1-DT,4,0,2,4,2,5
ENSG00000169885,CALML6,13,13,13,7,14,28
ENSG00000178821,TMEM52,2,2,1,2,2,3
ENSG00000142609,CFAP74,0,0,0,0,1,1
ENSG00000233542,ENSG00000233542,0,0,0,0,0,0
ENSG00000187730,GABRD,0,0,0,0,0,0
ENSG00000226969,PRKCZ-DT,0,0,0,0,0,0
ENSG00000067606,PRKCZ,173,175,153,233,217,219
ENSG00000271806,ENSG00000271806,0,0,0,0,0,0
ENSG00000182873,PRKCZ-AS1,22,11,9,12,20,11
ENSG00000162585,FAAP20,562,503,504,621,642,597
ENSG00000234396,ENSG00000234396,1,0,0,5,0,1
ENSG00000157933,SKI,2572,2948,2442,2711,2869,3062
ENSG00000116151,MORN1,104,87,74,107,100,84
ENSG00000272161,ENSG00000272161,0,0,0,0,1,0
ENSG00000269896,ENSG00000269896,5,12,6,11,14,10
ENSG00000272420,ENSG00000272420,0,4,1,3,9,5
ENSG00000157916,RER1,3978,3852,3415,3526,4185,3804
ENSG00000157911,PEX10,463,431,437,452,519,477
ENSG00000149527,PLCH2,55,31,50,36,19,28
ENSG00000224387,ENSG00000224387,1,0,0,0,0,0
ENSG00000229393,ENSG00000229393,0,0,0,0,0,0
ENSG00000157881,PANK4,425,386,387,372,398,403
ENSG00000197921,HES5,0,1,0,1,0,0
ENSG00000272449,ENSG00000272449,5,5,2,1,4,6
ENSG00000238164,TNFRSF14-AS1,5,5,3,6,5,7
ENSG00000157873,TNFRSF14,213,193,201,503,456,455
ENSG00000225931,ENSG00000225931,0,0,0,0,0,0
ENSG00000228037,ENSG00000228037,0,2,1,2,0,1
ENSG00000157870,PRXL2B,705,510,437,502,526,541
ENSG00000142606,MMEL1,4,2,1,1,1,0
ENSG00000237058,MMEL1-AS1,0,0,0,0,0,0
ENSG00000215912,TTC34,2,0,1,5,7,4
ENSG00000283259,ENSG00000283259,0,0,0,0,0,0
ENSG00000233234,ENSG00000233234,0,0,0,0,0,0
ENSG00000231630,ENSG00000231630,0,0,0,0,0,0
ENSG00000284745,ENSG00000284745,0,0,0,0,0,0
ENSG00000169717,ACTRT2,0,0,0,0,0,0
ENSG00000177133,PRDM16-DT,12,3,4,5,3,6
ENSG00000142611,PRDM16,116,50,41,40,28,27
ENSG00000283572,MIR4251,0,0,0,0,0,0
ENSG00000226286,ENSG00000226286,0,1,0,0,0,0
ENSG00000279839,ENSG00000279839,0,0,0,0,0,0
ENSG00000272235,ENSG00000272235,4,1,0,0,3,0
ENSG00000130762,ARHGEF16,9,13,15,4,0,1
ENSG00000272088,ENSG00000272088,0,0,0,0,0,0
ENSG00000162591,MEGF6,98,289,131,36,84,100
ENSG00000207776,MIR551A,0,0,0,0,0,0
ENSG00000238260,ENSG00000238260,1,0,0,0,0,0
ENSG00000158109,TPRG1L,1398,1551,1168,1370,1865,1870
ENSG00000116213,WRAP73,213,205,181,232,232,250
ENSG00000078900,TP73,1,1,3,0,1,3
ENSG00000227589,TP73-AS3,0,0,0,0,0,0
ENSG00000235131,TP73-AS2,0,0,0,0,0,0
ENSG00000227372,GFOD3P,277,291,255,280,263,265
ENSG00000276189,ENSG00000276189,0,0,0,0,0,0
ENSG00000162592,CCDC27,0,0,0,0,0,0
ENSG00000235169,SMIM1,0,2,2,3,0,4
ENSG00000130764,LRRC47,925,967,749,843,1011,923
ENSG00000266075,RN7SL574P,0,0,0,1,0,0
ENSG00000272153,ENSG00000272153,2,2,0,3,1,0
ENSG00000116198,CEP104,991,935,799,941,1178,1223
ENSG00000169598,DFFB,90,80,95,123,113,129
ENSG00000198912,C1orf174,338,350,311,353,297,323
ENSG00000236423,LINC01134,5,7,4,2,6,3
ENSG00000233304,LINC01346,0,0,0,0,0,0
ENSG00000226374,LINC01345,0,0,0,0,0,0
ENSG00000284668,LINC02780,0,0,0,0,0,0
ENSG00000284703,ENSG00000284703,0,0,0,0,0,0
ENSG00000229280,EEF1DP6,0,0,0,0,0,0
ENSG00000235054,LINC01777,0,1,0,0,0,0
ENSG00000284694,ENSG00000284694,0,0,0,0,0,0
ENSG00000227169,ENSG00000227169,0,0,0,0,0,0
ENSG00000232596,LINC01646,0,0,0,0,0,0
ENSG00000196581,AJAP1,439,381,243,236,722,754
ENSG00000284739,ENSG00000284739,0,0,0,0,0,0
ENSG00000284674,LINC02781,0,0,0,0,0,0
ENSG00000231510,LINC02782,0,0,0,0,0,0
ENSG00000284616,ENSG00000284616,0,0,0,0,0,0
