gene_id,gene_name,PT916-MYO,PT886-LEIO,PT967-MYO,PT886-MYO,PT916-LEIO,PT1063-LEIO,PT1063-MYO,PT848-MYO,PT967-LEIO,PT848-LEIO
ENSG00000223972,DDX11L1,0,0,0,0,0,0,0,0,0,0
ENSG00000227232,WASH7P,13,18,9,6,26,18,15,19,5,21
ENSG00000278267,MIR6859-1,0,2,1,5,2,1,1,3,0,3
ENSG00000243485,MIR1302-2HG,0,0,0,0,0,0,0,0,0,0
ENSG00000284332,MIR1302-2,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,OR4G4P,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,OR4G11P,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,OR4F5,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,,0,0,1,0,0,2,0,1,1,4
ENSG00000239945,ENSG00000239945,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,CICP27,0,0,0,0,0,0,0,0,0,0
ENSG00000268903,ENSG00000268903,9,0,2,0,7,1,0,1,7,2
ENSG00000269981,ENSG00000269981,11,0,3,1,6,0,0,2,5,0
ENSG00000239906,ENSG00000239906,0,0,0,0,0,0,0,0,0,0
ENSG00000241860,ENSG00000241860,4,0,6,0,4,2,2,4,1,3
ENSG00000222623,RNU6-1100P,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,ENSG00000241599,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,DDX11L17,0,0,0,0,1,0,0,0,0,2
ENSG00000279457,WASH9P,27,16,14,14,26,12,19,7,19,7
ENSG00000273874,MIR6859-2,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,ENSG00000228463,3,5,4,0,2,7,4,5,5,6
ENSG00000236679,RPL23AP24,0,0,0,0,0,0,0,0,0,0
ENSG00000236601,ENSG00000236601,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,ENSG00000237094,11,7,18,5,11,2,3,6,18,4
ENSG00000269732,WBP1LP7,0,0,0,0,0,0,0,0,0,0
ENSG00000284733,OR4F29,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,CICP7,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,ENSG00000250575,0,0,0,0,0,0,0,0,0,0
ENSG00000278757,U6,0,0,0,0,0,0,0,0,0,0
ENSG00000230021,ENSG00000230021,0,0,1,3,1,2,0,3,0,4
ENSG00000235146,ENSG00000235146,0,0,0,0,0,0,0,0,0,0
ENSG00000225972,MTND1P23,6,2,6,1,2,1602,2022,2,6,1
ENSG00000225630,MTND2P28,692,394,754,150,465,497,621,461,733,605
ENSG00000237973,MTCO1P12,64,47,76,26,50,11385,15735,50,83,63
ENSG00000278791,ENSG00000278791,0,0,0,0,0,26,111,1,0,1
ENSG00000229344,MTCO2P12,4,2,2,0,4,1,7,2,7,4
ENSG00000240409,MTATP8P1,1,0,0,1,1,1,0,0,1,1
ENSG00000248527,MTATP6P1,1605,1555,1771,987,1333,1983,2566,1557,2197,2166
ENSG00000198744,MTCO3P12,6,3,8,0,5,9,6,6,7,9
ENSG00000268663,WBP1LP6,0,0,0,0,0,0,0,0,0,0
ENSG00000284662,OR4F16,0,0,0,0,0,0,0,0,0,0
ENSG00000229376,CICP3,0,0,0,0,0,0,0,0,0,0
ENSG00000228327,ENSG00000228327,30,28,47,23,46,23,24,51,27,35
ENSG00000223181,RNU6-1199P,0,0,1,1,1,1,0,2,1,0
ENSG00000229905,ENSG00000229905,0,0,0,0,0,0,0,0,0,0
ENSG00000237491,LINC01409,15,28,9,6,23,11,14,24,19,30
ENSG00000230092,ENSG00000230092,35,43,31,12,22,34,43,33,20,46
ENSG00000177757,FAM87B,4,3,0,0,2,0,4,1,2,0
ENSG00000228794,LINC01128,185,143,233,105,132,110,147,175,162,124
ENSG00000225880,LINC00115,9,31,18,20,9,19,23,31,12,17
ENSG00000230368,FAM41C,0,0,0,0,0,0,0,1,0,5
ENSG00000234711,TUBB8P11,0,0,0,0,0,0,0,0,0,0
ENSG00000283040,ENSG00000283040,0,1,0,0,0,0,0,0,0,0
ENSG00000272438,ENSG00000272438,2,1,0,0,4,8,1,1,2,5
ENSG00000230699,,2,13,0,5,41,54,2,5,18,28
ENSG00000241180,,0,0,0,0,0,1,0,0,0,2
ENSG00000223764,LINC02593,39,67,26,38,89,136,17,34,91,138
ENSG00000187634,SAMD11,130,185,78,103,257,404,22,108,657,407
ENSG00000188976,NOC2L,408,393,566,353,416,426,470,419,595,510
ENSG00000187961,KLHL17,39,61,52,72,82,87,62,56,130,104
ENSG00000187583,PLEKHN1,1,4,1,1,0,3,7,5,9,1
ENSG00000187642,PERM1,3,9,14,4,2,3,2,1,6,8
ENSG00000272512,ENSG00000272512,58,42,42,56,50,18,28,23,13,16
ENSG00000188290,HES4,168,240,240,142,139,122,175,161,186,140
ENSG00000187608,ISG15,57,94,93,47,57,62,64,148,172,47
ENSG00000231702,ENSG00000231702,0,0,0,0,0,0,0,0,0,0
ENSG00000224969,ENSG00000224969,0,2,0,0,0,0,0,1,0,0
ENSG00000188157,AGRN,899,1154,1263,1329,1115,884,1606,1881,1332,1213
ENSG00000242590,ENSG00000242590,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,ENSG00000217801,0,7,2,0,3,4,1,2,8,7
ENSG00000273443,ENSG00000273443,0,0,0,0,0,0,0,0,0,0
ENSG00000237330,RNF223,0,0,0,0,0,0,0,0,0,0
ENSG00000131591,C1orf159,94,116,114,102,85,127,118,144,113,140
ENSG00000223823,LINC01342,1,0,0,0,0,0,0,0,0,0
ENSG00000207730,MIR200B,0,0,0,0,0,0,0,0,0,0
ENSG00000207607,MIR200A,0,0,0,0,0,0,0,0,0,0
ENSG00000198976,MIR429,0,0,0,0,0,0,0,0,0,0
ENSG00000272141,ENSG00000272141,0,0,0,0,0,0,0,0,0,0
ENSG00000205231,TTLL10-AS1,1,0,1,0,1,0,0,0,1,0
ENSG00000162571,TTLL10,0,2,1,0,1,2,2,1,1,0
ENSG00000186891,TNFRSF18,3,2,1,0,0,2,1,2,7,0
ENSG00000186827,TNFRSF4,8,12,11,6,34,7,7,20,18,19
ENSG00000078808,SDF4,828,897,1250,663,608,628,1158,1093,1043,881
ENSG00000176022,B3GALT6,151,119,176,98,149,131,174,178,255,196
ENSG00000184163,C1QTNF12,6,21,7,6,9,8,2,9,15,13
ENSG00000260179,ENSG00000260179,10,6,4,4,3,3,2,1,4,8
ENSG00000160087,UBE2J2,306,308,378,230,294,289,363,364,427,339
ENSG00000230415,LINC01786,12,10,13,11,11,13,12,16,8,18
ENSG00000162572,SCNN1D,45,43,71,61,64,71,70,67,40,56
ENSG00000131584,ACAP3,558,764,526,805,608,527,560,702,598,624
ENSG00000278073,MIR6726,0,0,0,0,0,0,0,0,0,0
ENSG00000169972,PUSL1,61,81,56,56,54,46,78,72,97,77
ENSG00000127054,INTS11,726,1099,1049,966,959,836,1053,814,1026,859
ENSG00000283712,MIR6727,0,0,0,0,0,0,0,0,0,0
ENSG00000240731,ENSG00000240731,34,63,36,65,71,48,25,35,41,41
ENSG00000224051,CPTP,115,85,167,123,93,91,228,149,158,134
ENSG00000169962,TAS1R3,5,0,4,7,3,3,7,4,1,10
ENSG00000107404,DVL1,516,437,672,542,395,322,617,458,581,489
ENSG00000284372,MIR6808,0,0,0,0,0,0,0,0,0,0
ENSG00000162576,MXRA8,1024,903,1692,690,689,968,1905,1408,2489,1001
ENSG00000175756,AURKAIP1,176,166,279,113,162,147,271,265,321,205
ENSG00000223663,NDUFB4P8,0,0,0,0,0,0,1,0,0,0
ENSG00000221978,CCNL2,1522,1640,1841,1299,1777,1723,1868,1933,1470,1698
ENSG00000224870,MRPL20-AS1,65,56,87,55,60,58,93,96,102,83
ENSG00000242485,MRPL20,184,187,317,166,169,181,261,293,332,238
ENSG00000264293,RN7SL657P,0,0,0,0,0,0,0,0,0,0
ENSG00000272455,MRPL20-DT,7,17,14,10,19,16,11,9,18,31
