ID,Assembly,TrackClass,TrackType,CellClass,CellType,Description,ProcessingLogs,Title,MetaData
DRX013197,hg38,Histone,H3K27ac,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"73409612,94.6,23.0,74569",HeLa H3K27Ac,"sample_name=DRS012996	sample comment=ChIP seq library. HeLa cell line, H3K27Ac IP"
DRX402466,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"77495813,98.5,15.7,32748",NextSeq 500 paired end sequencing of SAMD00555404,sample_name=HFTSEC_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=primary human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=primary human fallopian tube secretory epithelial cell
DRX402467,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"74138655,98.3,22.3,70754",NextSeq 500 paired end sequencing of SAMD00555405,sample_name=HF1_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402468,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"72713138,98.3,26.4,60771",NextSeq 500 paired end sequencing of SAMD00555406,sample_name=HF1_TP53_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402469,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"60232864,98.3,20.9,71232",NextSeq 500 paired end sequencing of SAMD00555407,sample_name=HF1_TP53_KRAS_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402470,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"60244869,98.1,17.0,30451",NextSeq 500 paired end sequencing of SAMD00555408,sample_name=HF1_TP53_KRAS_AKT_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402471,hg38,ATAC-Seq,ATAC-Seq,Uterus,Fallopian tube secretory epithelial cell,,"61672159,98.4,34.8,54624",NextSeq 500 paired end sequencing of SAMD00555409,sample_name=HF1_TP53_KRAS_MYC_ATAC-seq	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402472,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"71727606,99.0,11.0,15160",Illumina NovaSeq 6000 paired end sequencing of SAMD00555410,sample_name=HF1_ChIP-seq_H3K27ac	antibody=H3K27ac	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402474,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"63395041,99.0,11.1,8428",Illumina NovaSeq 6000 paired end sequencing of SAMD00555412,sample_name=HF1_TP53_ChIP-seq_H3K27ac	antibody=H3K27ac	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402476,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"73611688,98.9,10.8,8460",Illumina NovaSeq 6000 paired end sequencing of SAMD00555414,sample_name=HF1_TP53_KRAS_ChIP-seq_H3K27ac	antibody=H3K27ac	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402478,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"91392221,99.0,11.2,15825",Illumina NovaSeq 6000 paired end sequencing of SAMD00555416,sample_name=HF1_TP53_KRAS_AKT_ChIP-seq_H3K27ac	antibody=H3K27ac	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
DRX402480,hg38,Histone,H3K27ac,Uterus,Fallopian tube secretory epithelial cell,,"67929671,93.8,9.6,11018",Illumina NovaSeq 6000 paired end sequencing of SAMD00555418,sample_name=HF1_TP53_KRAS_MYC_ChIP-seq_H3K27ac	antibody=H3K27ac	biomaterial_provider=Established by Dr. Kohei Nakamura	cell_type=immortalized human fallopian tube secretory epithelial cell	growth_protocol=maintained as adherent cells with EMEM and 10% fetal bovine serum (FBS)	sample_type=cultured cells	sex=female	strain=immortalized human fallopian tube secretory epithelial cell
SRX003937,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"3334448,69.1,26.3,744",-,cell line=MCF-7	chip antibody=ERalpha	treatment=mock
SRX003938,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"12652745,93.0,24.5,10395",-,cell line=MCF-7	chip antibody=ERalpha	treatment=E2 10 nM 1h
SRX003939,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"7892759,92.7,14.0,8066",-,cell line=MCF-7	chip antibody=ERalpha	treatment=Tamoxifen 1 uM 1h
SRX003940,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"8302024,92.6,13.4,3805",-,cell line=MCF-7	chip antibody=ERalpha	treatment=Fulvestrant 100 nM
SRX015140,hg38,TFs and others,JUN,Blood,K-562,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous,"21366481,80.3,7.8,22380",GSM487425: K562 Jun ChIPSeq,source_name=K562	biomaterial_provider=ATCC: CCL-243 http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CCL-243&amp;Template=cellBiology	growth properties=Suspension Morphology	lymphoblast antibody=Jun
SRX015141,hg38,TFs and others,FOS,Blood,K-562,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous,"18366063,82.7,9.4,15377",GSM487426: K562 Fos ChIPSeq,source_name=K562	biomaterial_provider=ATCC: CCL-243 http://www.atcc.org/ATCCAdvancedCatalogSearch/ProductDetails/tabid/452/Default.aspx?ATCCNum=CCL-243&amp;Template=cellBiology	growth properties=Suspension Morphology	lymphoblast antibody=Fos
SRX016326,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"5189798,70.3,16.2,184",GSM470418: MCF7 ethl ER,"source_name=MCF7	cell line=MCF7	cell type=estrogen-responsive breast cancer	antibody=Estrogen Receptor (ER)	treatment variable=hormone starved for 3 days, treated with 1% ethanol for 45 minutes"
SRX016327,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"3624961,59.3,18.0,4501",GSM470419: MCF7 E2 ER,"source_name=MCF7	cell line=MCF7	cell type=estrogen-responsive breast cancer	antibody=Estrogen Receptor (ER)	treatment variable=hormone starved for 3 days, treated with 10 nM β-estradiol for 45 minutes"
SRX026529,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"47942072,41.0,2.6,986",GSM589236: ERα sequencing in ETOH (ethanol) treated MCF-7 cells,source_name=MCF-7 breast cancer cells	cell line=MCF-7 breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=ETOH (ethanol)
SRX026530,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"21220101,55.1,3.2,10023",GSM589237: ERα sequencing in E2 (estradiol) treated MCF-7 cells,source_name=MCF-7 breast cancer cells	cell line=MCF-7 breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=E2
SRX026531,hg38,TFs and others,ESR1,Breast,T-47D,Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma Ductal,"44523318,40.9,2.9,1092",GSM589238: ERα sequencing in ETOH (ethanol) treated T47D cells,source_name=T47D breast cancer cells	cell line=T47D breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=ETOH (ethanol)
SRX026532,hg38,TFs and others,ESR1,Breast,T-47D,Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma Ductal,"22111638,58.7,2.0,2388",GSM589239: ERα sequencing in E2 (estradiol) treated T47D cells,source_name=T47D breast cancer cells	cell line=T47D breast cancer cells	fraction=ChIP DNA	antibody manufacturer=Santa Cruz	antibody catalog number=sc-543	antibody=ERα	agent=ETOH (ethanol)
